Determination start,Oxygen(mL/L),Cruise,CTD#,Oxy bottle,Bottle case,bottle volume,blank,Avg Thio Volume,Avg normality of thio,,depth,
2012-04-25 14:13:53 UTC-4,6.629,KN207,28,E5,E,148.9,0,4.3384,0.01029,,12,"Sample volume incorrect, should be 148.4"
2012-04-25 14:11:02 UTC-4,6.647,KN207,28,E5,E,148.9,0,4.3384,0.01029,,12,"Sample volume incorrect, should be 148.4"
2012-04-25 14:08:28 UTC-4,6.592,KN207,28,E4,E,148.9,0,4.3384,0.01029,,20,"Sample volume incorrect, should be 148.4"
2012-04-25 14:05:40 UTC-4,6.505,KN207,28,E4,E,148.9,0,4.3384,0.01029,,20,"Sample volume incorrect, should be 148.4"
2012-04-25 14:02:57 UTC-4,6.529,KN207,28,E3,E,148.9,0,4.3384,0.01029,,27,"Sample volume incorrect, should be 148.4"
2012-04-25 13:59:14 UTC-4,6.523,KN207,28,E3,E,148.9,0,4.3384,0.01029,,27,"Sample volume incorrect, should be 148.4"
2012-04-25 13:54:46 UTC-4,6.105,KN207,28,E2,E,148.9,0,4.3384,0.01029,,40,"Sample volume incorrect, should be 148.4"
2012-04-25 13:51:39 UTC-4,6.123,KN207,28,E2,E,148.9,0,4.3384,0.01029,,40,"Sample volume incorrect, should be 148.4"
2012-04-25 13:47:11 UTC-4,5.149,KN207,28,E1,E,148.9,0,4.3384,0.01029,,150,"Sample volume incorrect, should be 148.4"
2012-04-25 13:44:47 UTC-4,1.419,KN207,28,E1,E,148.9,0,4.3384,0.01029,,150,"Sample volume incorrect, should be 148.4"
2012-04-26 01:03:32 UTC-4,6.425,KN207,34,E15,E,148.4,0,4.3384,0.01029,,5,
2012-04-26 01:00:39 UTC-4,6.444,KN207,34,E15,E,148.4,0,4.3384,0.01029,,5,
2012-04-26 00:56:07 UTC-4,6.533,KN207,34,E16,E,148.4,0,4.3384,0.01029,,12,
2012-04-26 00:53:20 UTC-4,6.554,KN207,34,E16,E,148.4,0,4.3384,0.01029,,12,
2012-04-26 00:50:36 UTC-4,5.778,KN207,34,E17,E,148.4,0,4.3384,0.01029,,20,
2012-04-26 00:47:29 UTC-4,5.79,KN207,34,E17,E,148.4,0,4.3384,0.01029,,20,
2012-04-26 00:41:58 UTC-4,6.177,KN207,34,E18,E,148.4,0,4.3384,0.01029,,29,
2012-04-26 00:34:46 UTC-4,6.224,KN207,34,E18,E,148.4,0,4.3384,0.01029,,29,
2012-04-26 00:30:07 UTC-4,5.842,KN207,34,E20,E,148.4,0,4.3384,0.01029,,40,
2012-04-26 00:27:23 UTC-4,5.857,KN207,34,E20,E,148.4,0,4.3384,0.01029,,40,
2012-04-26 00:18:14 UTC-4,5.014,KN207,34,E21,E,148.4,0,4.3384,0.01029,,150,
2012-04-26 00:14:30 UTC-4,5.009,KN207,34,E21,E,148.4,0,4.3384,0.01029,,150,
2012-04-26 14:53:57 UTC-4,6.499,KN207,36,E13,E,148.4,0,4.3408,0.01028,,5.5,
2012-04-26 14:51:08 UTC-4,6.509,KN207,36,E13,E,148.4,0,4.3408,0.01028,,5.5,E12 in tiamo data base. Was actually bottle E8
2012-04-26 14:46:02 UTC-4,6.59,KN207,36,E12,E,148.4,0,4.3408,0.01028,,12.3,
2012-04-26 14:43:04 UTC-4,6.611,KN207,36,E12,E,148.4,0,4.3408,0.01028,,12.3,
2012-04-26 14:36:33 UTC-4,6.869,KN207,36,E11,E,148.4,0,4.3408,0.01028,,22,
2012-04-26 14:33:49 UTC-4,6.675,KN207,36,E11,E,148.4,0,4.3408,0.01028,,22,
2012-04-26 14:30:36 UTC-4,6.332,KN207,36,E10,E,148.4,0,4.3408,0.01028,,30,
2012-04-26 14:27:24 UTC-4,6.312,KN207,36,E10,E,148.4,0,4.3408,0.01028,,30,
2012-04-26 14:24:23 UTC-4,5.626,KN207,36,E9,E,148.4,0,4.3408,0.01028,,52,
2012-04-26 14:21:06 UTC-4,5.629,KN207,36,E9,E,148.4,0,4.3408,0.01028,,52,
2012-04-26 14:16:54 UTC-4,4.128,KN207,36,E8,E,148.4,0,4.3408,0.01028,,151,E2 in tiamo data base. Was actually bottle E8
2012-04-26 14:14:17 UTC-4,invalid,KN207,36,E8,E,148.4,0,4.3408,0.01028,,151,E2 in tiamo data base. Was actually bottle E9
2012-04-27 20:37:22 UTC-4,5.824,KN207-1,45,R8-phorcys opaque,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:34:46 UTC-4,5.833,KN207-1,45,R8-phorcys opaque,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:31:14 UTC-4,5.818,KN207-1,45,R7-phorcys opaque-piece of paper in this one,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:27:48 UTC-4,5.843,KN207-1,45,R7-phorcys opaque,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:22:28 UTC-4,5.831,KN207-1,45,R5-phorcys transparent,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:19:52 UTC-4,5.819,KN207-1,45,R5-phorcys transparent,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:16:51 UTC-4,5.814,KN207-1,45,R4-phorcys transparent,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:14:13 UTC-4,5.814,KN207-1,45,R4-phorcys transparent,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:08:16 UTC-4,6.117,KN207-1,999,incubation 5,x,302.26,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:05:44 UTC-4,6.121,KN207-1,999,incubation 5,x,302.26,0,4.3469,0.01027,,for jamie collins,
2012-04-27 20:02:43 UTC-4,6.133,KN207-1,999,incubation 5,x,302.26,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:58:20 UTC-4,6.118,KN207-1,999,incubation 9,x,301.97,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:55:41 UTC-4,6.113,KN207-1,999,incubation 9,x,301.97,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:52:20 UTC-4,6.142,KN207-1,999,incubation 9,x,301.97,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:46:36 UTC-4,6.102,KN207-1,999,incubation 7,x,303.12,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:43:34 UTC-4,6.114,KN207-1,999,incubation 7,x,303.12,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:40:38 UTC-4,6.122,KN207-1,999,incubation 7,x,303.12,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:32:00 UTC-4,6.559,KN207-1,45,R3-Jamie 29 meters bottle 3,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:29:04 UTC-4,6.564,KN207-1,45,R3-Jamie 29 meters bottle 3,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:21:03 UTC-4,6.563,KN207-1,45,R2-Jamie 29 meters bottle 3,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:17:48 UTC-4,6.578,KN207-1,45,R2-Jamie 29 meters bottle 3,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:14:41 UTC-4,6.558,KN207-1,45,R1-Jamie 29 meters bottle 2,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-27 19:12:08 UTC-4,6.572,KN207-1,45,R1-Jamie 29 meters bottle 2,R,151.1,0,4.3469,0.01027,,for jamie collins,
2012-04-28 06:59:50 UTC-4,5.426,KN207-1,46,R14,R,151.1,0,4.3469,0.01027,,5,
2012-04-28 06:56:44 UTC-4,5.441,KN207-1,46,R14,R,151.1,0,4.3469,0.01027,,5,"was R13 in tiamo, needed to be 14"
2012-04-28 06:49:39 UTC-4,5.464,KN207-1,46,R13,R,151.1,0,4.3469,0.01027,,12,
2012-04-28 06:46:14 UTC-4,5.463,KN207-1,46,R13,R,151.1,0,4.3469,0.01027,,12,
2012-04-28 06:43:00 UTC-4,5.595,KN207-1,46,R12,R,151.1,0,4.3469,0.01027,,18,
2012-04-28 06:40:09 UTC-4,5.606,KN207-1,46,R12,R,151.1,0,4.3469,0.01027,,18,
2012-04-28 06:37:23 UTC-4,5.537,KN207-1,46,R11,R,151.1,0,4.3469,0.01027,,25,
2012-04-28 06:34:29 UTC-4,5.553,KN207-1,46,R11,R,151.1,0,4.3469,0.01027,,25,
2012-04-28 06:28:46 UTC-4,5.292,KN207-1,46,R10,R,151.1,0,4.3469,0.01027,,55,
2012-04-28 06:25:58 UTC-4,5.303,KN207-1,46,R10,R,151.1,0,4.3469,0.01027,,55,
2012-04-28 06:21:06 UTC-4,3.308,KN207-1,46,R9,R,151.1,0,4.3469,0.01027,,150,
2012-04-28 06:18:30 UTC-4,3.538,KN207-1,46,R9,R,151.1,0,4.3469,0.01027,,150,
2012-04-28 13:09:12 UTC-4,4.878,KN207-1,47,K6,K,149,0,4.3469,0.01027,,13,
2012-04-28 13:06:27 UTC-4,4.884,KN207-1,47,K6,K,149,0,4.3469,0.01027,,13,
2012-04-28 13:03:33 UTC-4,4.756,KN207-1,47,K5,K,149,0,4.3469,0.01027,,25,
2012-04-28 13:00:48 UTC-4,4.752,KN207-1,47,K5,K,149,0,4.3469,0.01027,,25,
2012-04-28 12:58:10 UTC-4,4.789,KN207-1,47,K4,K,149,0,4.3469,0.01027,,55,
2012-04-28 12:55:19 UTC-4,4.796,KN207-1,47,K4,K,149,0,4.3469,0.01027,,55,
2012-04-28 12:52:39 UTC-4,4.782,KN207-1,47,K3,K,149,0,4.3469,0.01027,,67,
2012-04-28 12:49:30 UTC-4,4.76,KN207-1,47,K3,K,149,0,4.3469,0.01027,,67,
2012-04-28 12:48:07 UTC-4,invalid,KN207-1,47,K3,K,149,0,4.3469,0.01027,,92,
2012-04-28 12:45:50 UTC-4,4.591,KN207-1,47,K2,K,149,0,4.3469,0.01027,,92,
2012-04-28 12:43:04 UTC-4,4.591,KN207-1,47,K2,K,149,0,4.3469,0.01027,,150,
2012-04-28 12:38:37 UTC-4,4.971,KN207-1,47,K1,K,149,0,4.3469,0.01027,,150,
2012-04-28 15:53:01 UTC-4,5.119,KN207-1,48,R20,R,151.1,0,4.3469,0.01027,,5,
2012-04-28 15:49:42 UTC-4,5.127,KN207-1,48,R20,R,151.1,0,4.3469,0.01027,,5,
2012-04-28 15:47:01 UTC-4,5.128,KN207-1,48,R19,R,151.1,0,4.3469,0.01027,,12,
2012-04-28 15:44:25 UTC-4,5.128,KN207-1,48,R19,R,151.1,0,4.3469,0.01027,,12,
2012-04-28 15:41:46 UTC-4,5.124,KN207-1,48,R18,R,151.1,0,4.3469,0.01027,,22,
2012-04-28 15:38:47 UTC-4,5.132,KN207-1,48,R18,R,151.1,0,4.3469,0.01027,,22,
2012-04-28 15:34:28 UTC-4,5.118,KN207-1,48,R17,R,151.1,0,4.3469,0.01027,,40,
2012-04-28 15:31:33 UTC-4,5.123,KN207-1,48,R17,R,151.1,0,4.3469,0.01027,,40,
2012-04-28 15:27:50 UTC-4,4.973,KN207-1,48,R16,R,151.1,0,4.3469,0.01027,,70,
2012-04-28 15:25:18 UTC-4,4.973,KN207-1,48,R16,R,151.1,0,4.3469,0.01027,,70,
2012-04-28 15:21:29 UTC-4,5.037,KN207-1,48,R15,R,151.1,0,4.3469,0.01027,,150,
2012-04-28 15:18:51 UTC-4,5.016,KN207-1,48,R15,R,151.1,0,4.3469,0.01027,,150,
2012-04-29 01:12:52 UTC-4,5.013,KN207-1,49,R27,R,151.1,0,4.36165,0.01024,,5,
2012-04-29 01:10:23 UTC-4,5.022,KN207-1,49,R27,R,151.1,0,4.36165,0.01024,,5,
2012-04-29 01:07:35 UTC-4,5.018,KN207-1,49,R28,R,151.1,0,4.36165,0.01024,,12,
2012-04-29 01:05:07 UTC-4,5.036,KN207-1,49,R28,R,151.1,0,4.36165,0.01024,,12,
2012-04-29 01:00:48 UTC-4,5.051,KN207-1,49,R25,R,151.1,0,4.36165,0.01024,,30,
2012-04-29 00:58:00 UTC-4,5.05,KN207-1,49,R25,R,151.1,0,4.36165,0.01024,,30,
2012-04-29 00:55:03 UTC-4,5.12,KN207-1,49,R24,R,151.1,0,4.36165,0.01024,,60,
2012-04-29 00:52:38 UTC-4,5.12,KN207-1,49,R24,R,151.1,0,4.36165,0.01024,,60,
2012-04-29 00:49:39 UTC-4,5.032,KN207-1,49,R23,R,151.1,0,4.36165,0.01024,,80,
2012-04-29 00:47:11 UTC-4,5.04,KN207-1,49,R23,R,151.1,0,4.36165,0.01024,,80,
2012-04-29 00:44:46 UTC-4,5.131,KN207-1,49,R22,R,151.1,0,4.36165,0.01024,,150,
2012-04-29 00:42:29 UTC-4,5.151,KN207-1,49,R22,R,151.1,0,4.36165,0.01024,,150,
